listing_id,order_id,placed_at,status
192,1000169,2023-01-01 00:21:13,completed
66,1000136,2023-01-01 00:48:44,completed
135,1000103,2023-01-01 01:10:57,pending
192,1000170,2023-01-01 01:22:48,refunded
57,1000116,2023-01-01 01:31:04,completed
21,1000125,2023-01-01 03:20:23,completed
79,1000035,2023-01-01 03:35:13,completed
190,1000037,2023-01-01 03:52:19,completed
44,1000148,2023-01-01 04:09:01,completed
83,1000135,2023-01-01 04:12:53,completed
131,1000041,2023-01-01 04:28:23,completed
79,1000033,2023-01-01 04:32:35,completed
63,1000111,2023-01-01 04:38:18,cancelled
80,1000081,2023-01-01 05:27:18,completed
57,1000118,2023-01-01 06:07:29,completed
30,1000022,2023-01-01 06:21:19,completed
79,1000034,2023-01-01 06:23:42,completed
189,1000029,2023-01-01 06:26:54,refunded
175,1000164,2023-01-01 07:31:12,completed
85,1000091,2023-01-01 07:34:31,completed
5,1000018,2023-01-01 07:37:36,pending
163,1000104,2023-01-01 08:02:00,cancelled
57,1000115,2023-01-01 08:10:29,completed
40,1000108,2023-01-01 08:32:18,cancelled
16,1000027,2023-01-01 08:34:03,pending
174,1000051,2023-01-01 08:37:54,completed
159,1000058,2023-01-01 08:48:29,completed
85,1000090,2023-01-01 09:02:23,completed
114,1000075,2023-01-01 09:05:14,completed
75,1000023,2023-01-01 09:21:53,pending
26,1000054,2023-01-01 09:27:40,refunded
30,1000021,2023-01-01 09:30:16,completed
190,1000038,2023-01-01 09:30:49,refunded
40,1000106,2023-01-01 09:33:17,completed
157,1000011,2023-01-01 09:39:52,pending
135,1000101,2023-01-01 09:43:05,completed
174,1000052,2023-01-01 09:48:42,refunded
135,1000102,2023-01-01 09:49:11,completed
83,1000133,2023-01-01 09:49:17,pending
169,1000140,2023-01-01 09:51:13,cancelled
163,1000105,2023-01-01 09:52:07,completed
75,1000024,2023-01-01 09:54:40,completed
117,1000160,2023-01-01 09:57:16,pending
131,1000042,2023-01-01 10:04:43,completed
174,1000053,2023-01-01 10:07:26,completed
5,1000017,2023-01-01 10:17:19,refunded
162,1000062,2023-01-01 10:22:43,completed
100,1000138,2023-01-01 10:24:55,completed
85,1000089,2023-01-01 10:28:30,refunded
7,1000097,2023-01-01 10:31:07,completed
177,1000078,2023-01-01 10:31:33,pending
131,1000040,2023-01-01 10:38:18,completed
175,1000165,2023-01-01 10:38:46,completed
157,1000012,2023-01-01 10:39:45,completed
