date,listing_id,cnt_ratings,avg_rating
2023-01-01,2,1,5.0
2023-01-01,6,1,5.0
2023-01-01,11,1,5.0
2023-01-01,12,1,4.0
2023-01-01,14,1,4.0
2023-01-01,15,2,4.5
2023-01-01,17,2,4.0
2023-01-01,41,2,2.5
2023-01-01,44,1,5.0
2023-01-01,46,1,3.0
2023-01-01,48,3,4.33
2023-01-01,48,1,5.0
2023-01-01,62,1,5.0
2023-01-01,68,1,3.0
2023-01-01,76,1,3.0
2023-01-01,87,1,5.0
2023-01-01,94,1,4.0
2023-01-01,96,1,4.0
2023-01-01,97,1,4.0
2023-01-01,109,1,4.0
2023-01-01,122,1,4.0
2023-01-01,131,1,5.0
2023-01-01,138,1,4.0
2023-01-01,142,1,4.0
2023-01-01,150,1,4.0
2023-01-01,157,1,4.0
2023-01-01,161,1,4.0
2023-01-01,168,1,3.0
2023-01-01,170,1,4.0
2023-01-01,173,2,4.0
2023-01-01,191,1,5.0
2023-01-01,195,1,2.0
2023-01-01,197,3,4.0
2023-01-01,198,1,4.0
2023-01-01,199,1,2.0
2023-01-02,6,1,5.0
2023-01-02,8,1,4.0
2023-01-02,13,1,4.0
2023-01-02,17,3,4.33
2023-01-02,33,1,5.0
2023-01-02,36,2,2.5
2023-01-02,37,1,5.0
2023-01-02,44,2,5.0
2023-01-02,47,1,5.0
2023-01-02,48,2,4.0
2023-01-02,48,1,5.0
2023-01-02,58,1,3.0
2023-01-02,68,3,2.67
2023-01-02,89,1,4.0
2023-01-02,94,2,3.5
2023-01-02,96,2,4.0
2023-01-02,122,2,4.5
2023-01-02,136,1,5.0
2023-01-02,138,1,5.0
2023-01-02,142,2,4.5
2023-01-02,149,1,4.0
2023-01-02,155,1,4.0
2023-01-02,173,3,4.33
2023-01-02,174,2,3.5
2023-01-02,181,2,4.0
2023-01-02,189,1,5.0
2023-01-02,197,4,4.0
2023-01-02,200,2,3.5
2023-01-03,2,2,4.5
2023-01-03,8,2,3.5
2023-01-03,9,1,5.0
2023-01-03,12,2,3.5
2023-01-03,13,2,4.0
2023-01-03,14,2,3.0
2023-01-03,16,1,4.0
2023-01-03,25,1,5.0
2023-01-03,41,4,3.0
2023-01-03,44,3,4.0
2023-01-03,48,2,4.5
2023-01-03,62,3,4.33
2023-01-03,65,1,4.0
2023-01-03,66,1,5.0
2023-01-03,68,1,4.0
2023-01-03,68,4,3.0
2023-01-03,71,2,5.0
2023-01-03,72,1,5.0
2023-01-03,77,1,3.0
2023-01-03,81,1,5.0
2023-01-03,84,1,4.0
2023-01-03,94,3,4.0
2023-01-03,96,3,4.33
2023-01-03,97,2,3.5
2023-01-03,100,1,4.0
2023-01-03,101,1,4.0
2023-01-03,109,2,4.0
2023-01-03,129,2,4.0
2023-01-03,130,1,2.0
2023-01-03,132,1,5.0
2023-01-03,134,1,5.0
2023-01-03,138,2,4.5
2023-01-03,139,1,5.0
2023-01-03,145,1,4.0
2023-01-03,155,3,4.67
2023-01-03,159,2,5.0
2023-01-03,160,1,4.0
2023-01-03,167,1,4.0
2023-01-03,168,2,4.0
2023-01-03,174,3,3.67
2023-01-03,177,2,4.5
2023-01-03,179,1,4.0
2023-01-03,183,1,5.0
2023-01-03,186,1,5.0
2023-01-03,197,6,4.0
2023-01-04,6,2,3.5
2023-01-04,8,3,3.67
2023-01-04,11,2,4.0
2023-01-04,12,3,3.33
2023-01-04,28,1,5.0
2023-01-04,33,2,4.0
2023-01-04,35,1,3.0
2023-01-04,36,3,3.0
2023-01-04,37,2,5.0
2023-01-04,41,5,3.4
2023-01-04,44,4,3.75
2023-01-04,46,2,4.0
2023-01-04,48,4,3.75
2023-01-04,48,3,4.33
2023-01-04,53,1,5.0
2023-01-04,58,2,3.5
2023-01-04,59,1,3.0
2023-01-04,64,1,5.0
2023-01-04,71,3,5.0
2023-01-04,77,4,3.25
2023-01-04,83,1,2.0
2023-01-04,87,2,4.5
2023-01-04,94,5,3.6
2023-01-04,96,4,4.5
2023-01-04,97,3,4.0
2023-01-04,109,3,4.0
2023-01-04,110,2,4.5
2023-01-04,114,2,3.5
2023-01-04,117,1,4.0
2023-01-04,124,1,4.0
2023-01-04,132,2,4.0
2023-01-04,135,2,4.5
2023-01-04,139,2,5.0
2023-01-04,140,1,5.0
2023-01-04,145,2,4.0
2023-01-04,155,4,4.75
2023-01-04,161,2,4.0
2023-01-04,163,1,5.0
2023-01-04,172,1,4.0
2023-01-04,173,5,3.8
2023-01-04,177,3,4.33
2023-01-04,186,2,5.0
2023-01-04,189,1,4.0
2023-01-04,200,3,3.67
2023-01-05,2,4,4.5
2023-01-05,3,1,5.0
2023-01-05,8,4,4.0
2023-01-05,11,3,3.67
2023-01-05,12,4,3.75
2023-01-05,15,3,4.67
2023-01-05,25,2,5.0
2023-01-05,28,3,4.0
2023-01-05,41,8,3.62
2023-01-05,44,5,4.0
2023-01-05,47,2,4.5
2023-01-05,48,5,3.8
2023-01-05,59,1,5.0
2023-01-05,62,4,4.5
2023-01-05,64,2,4.5
2023-01-05,68,3,4.33
2023-01-05,71,4,4.75
2023-01-05,76,3,3.67
2023-01-05,77,5,3.6
2023-01-05,79,1,3.0
2023-01-05,87,3,4.33
2023-01-05,89,2,3.5
2023-01-05,94,8,3.5
2023-01-05,100,2,4.0
2023-01-05,104,1,5.0
2023-01-05,117,2,4.5
2023-01-05,124,2,4.0
2023-01-05,130,2,3.5
2023-01-05,135,3,4.33
2023-01-05,136,2,3.5
2023-01-05,140,2,5.0
2023-01-05,142,3,4.67
